*******************************************************************************
 Revised: Sep 28, 2012                 Mars                             499 / 4
 
 GEOPHYSICAL DATA (updated 2009-May-26):
  Mean radius (km)      = 3389.9(2+-4)    Density (g cm^-3)     =  3.933(5+-4)
  Mass (10^23 kg )      =    6.4185       Flattening, f         =  1/154.409
  Volume (x10^10 km^3)  =   16.318        Semi-major axis       =  3397+-4
  Sidereal rot. period  =   24.622962 hr  Rot. Rate (x10^5 s)   =  7.088218
  Mean solar day        =    1.0274907 d  Polar gravity ms^-2   =  3.758
  Mom. of Inertia       =    0.366        Equ. gravity  ms^-2   =  3.71
  Core radius (km)      =  ~1700          Potential Love # k2   =  0.153 +-.017
 
  Grav spectral fact u  =   14 (x10^5)    Topo. spectral fact t = 96 (x10^5)
  Fig. offset (Rcf-Rcm) = 2.50+-0.07 km   Offset (lat./long.)   = 62d / 88d
  GM (km^3 s^-2)        = 42828.3         Equatorial Radius, Re = 3394.0 km 
  GM 1-sigma (km^3 s^-2)= +- 0.1          Mass ratio (Sun/Mars) = 3098708+-9
  
  Atmos. pressure (bar) =    0.0056       Max. angular diam.    =  17.9"
  Mean Temperature (K)  =  210            Visual mag. V(1,0)    =  -1.52
  Geometric albedo      =    0.150        Obliquity to orbit    =  25.19 deg
  Mean sidereal orb per =    1.88081578 y Orbit vel.  km/s      =  24.1309
  Mean sidereal orb per =  686.98 d       Escape vel. km/s      =   5.027
  Hill's sphere rad. Rp =  319.8          Mag. mom (gauss Rp^3) = < 1x10^-4 
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Thu Aug  9 00:20:10 2018 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Mars (499)                      {source: mar097}
Center body name: Sun (10)                        {source: mar097}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2005-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2007-Dec-31 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2453371.500000000, A.D. 2005-Jan-01 00:00:00.0000, -1.730515422038534E+08, -1.586124093179416E+08,  9.278702380957901E+05,  1.728069274105665E+01, -1.578876661288426E+01, -7.553555804930641E-01,  7.830277249175439E+02,  2.347458063351783E+08, -2.073975659568144E+00,
2453372.500000000, A.D. 2005-Jan-02 00:00:00.0000, -1.715518780599294E+08, -1.599704627565861E+08,  8.625728049121946E+05,  1.743359176218612E+01, -1.564740067162031E+01, -7.561497396348171E-01,  7.824288905120674E+02,  2.345662802968256E+08, -2.081696121626158E+00,
2453373.500000000, A.D. 2005-Jan-03 00:00:00.0000, -1.700390459938847E+08, -1.613162361419441E+08,  7.972091866349578E+05,  1.758550319956947E+01, -1.550450660987079E+01, -7.568876036901502E-01,  7.818278514971962E+02,  2.343860933332034E+08, -2.089274703212483E+00,
2453374.500000000, A.D. 2005-Jan-04 00:00:00.0000, -1.685131320017004E+08, -1.626495975847764E+08,  7.317842597792521E+05,  1.773641151529216E+01, -1.536008770135926E+01, -7.575688575106412E-01,  7.812246489343243E+02,  2.342052577542081E+08, -2.096710181036707E+00,
2453375.500000000, A.D. 2005-Jan-05 00:00:00.0000, -1.669742234246029E+08, -1.639704154838009E+08,  6.663029278503209E+05,  1.788630111932069E+01, -1.521414736200913E+01, -7.581931983879748E-01,  7.806193242338203E+02,  2.340237859743559E+08, -2.104001349498231E+00,
2453376.500000000, A.D. 2005-Jan-06 00:00:00.0000, -1.654224089554707E+08, -1.652785585382816E+08,  6.007701212622747E+05,  1.803515635432291E+01, -1.506668914471338E+01, -7.587603276867423E-01,  7.800119191549248E+02,  2.338416905127522E+08, -2.111147014416615E+00,
2453377.500000000, A.D. 2005-Jan-07 00:00:00.0000, -1.638577786450747E+08, -1.665738957607985E+08,  5.351907972030863E+05,  1.818296147567965E+01, -1.491771674148570E+01, -7.592699400244305E-01,  7.794024758052744E+02,  2.336589839929487E+08, -2.118145978961831E+00,
2453378.500000000, A.D. 2005-Jan-08 00:00:00.0000, -1.622804239082353E+08, -1.678562964904264E+08,  4.695699394743368E+05,  1.832970065006602E+01, -1.476723399157457E+01, -7.597217221835164E-01,  7.787910366408133E+02,  2.334756791429175E+08, -2.124997038984644E+00,
